Year,Team,Opponent,Win
2013,Colorado State,Washington State,1
2013,Washington State,Colorado State,0
2013,Louisiana-Lafayette,Tulane,1
2013,Tulane,Louisiana-Lafayette,0
2013,San Diego State,Buffalo,1
2013,Buffalo,San Diego State,0
2013,Southern California,Fresno State,1
2013,Fresno State,Southern California,0
2013,East Carolina,Ohio,1
2013,Ohio,East Carolina,0
2013,Oregon State,Boise State,1
2013,Boise State,Oregon State,0
2013,Pittsburgh,Bowling Green State,1
2013,Bowling Green State,Pittsburgh,0
2013,Utah State,Northern Illinois,1
2013,Northern Illinois,Utah State,0
2013,Marshall,Maryland,1
2013,Maryland,Marshall,0
2013,Syracuse,Minnesota,1
2013,Minnesota,Syracuse,0
2013,Washington,Brigham Young,1
2013,Brigham Young,Washington,0
2013,Kansas State,Michigan,1
2013,Michigan,Kansas State,0
2013,Louisville,Miami (FL),1
2013,Miami (FL),Louisville,0
2013,North Carolina,Cincinnati,1
2013,Cincinnati,North Carolina,0
2013,Notre Dame,Rutgers,1
2013,Rutgers,Notre Dame,0
2013,Mississippi,Georgia Tech,1
2013,Georgia Tech,Mississippi,0
2013,Navy,Middle Tennessee State,1
2013,Middle Tennessee State,Navy,0
2013,Oregon,Texas,1
2013,Texas,Oregon,0
2013,Texas Tech,Arizona State,1
2013,Arizona State,Texas Tech,0
2013,Arizona,Boston College,1
2013,Boston College,Arizona,0
2013,Mississippi State,Rice,1
2013,Rice,Mississippi State,0
2013,Texas A&M,Duke,1
2013,Duke,Texas A&M,0
2013,UCLA,Virginia Tech,1
2013,Virginia Tech,UCLA,0
2013,Central Florida,Baylor,1
2013,Baylor,Central Florida,0
2013,Louisiana State,Iowa,1
2013,Iowa,Louisiana State,0
2013,Michigan State,Stanford,1
2013,Stanford,Michigan State,0
2013,Nebraska,Georgia,1
2013,Georgia,Nebraska,0
2013,North Texas,Nevada-Las Vegas,1
2013,Nevada-Las Vegas,North Texas,0
2013,South Carolina,Wisconsin,1
2013,Wisconsin,South Carolina,0
2013,Oklahoma,Alabama,1
2013,Alabama,Oklahoma,0
2013,Clemson,Ohio State,1
2013,Ohio State,Clemson,0
2013,Missouri,Oklahoma State,1
2013,Oklahoma State,Missouri,0
2013,Vanderbilt,Houston,1
2013,Houston,Vanderbilt,0
2013,Arkansas State,Ball State,1
2013,Ball State,Arkansas State,0
2013,Florida State,Auburn,1
2013,Auburn,Florida State,0
2012,Arizona,Nevada,1
2012,Nevada,Arizona,0
2012,Utah State,Toledo,1
2012,Toledo,Utah State,0
2012,Brigham Young,San Diego State,1
2012,San Diego State,Brigham Young,0
2012,Central Florida,Ball State,1
2012,Ball State,Central Florida,0
2012,Boise State,Washington,1
2012,Washington,Boise State,0
2012,Louisiana-Lafayette,East Carolina,1
2012,East Carolina,Louisiana-Lafayette,0
2012,Southern Methodist,Fresno State,1
2012,Fresno State,Southern Methodist,0
2012,Central Michigan,Western Kentucky,1
2012,Western Kentucky,Central Michigan,0
2012,Baylor,UCLA,1
2012,UCLA,Baylor,0
2012,Cincinnati,Duke,1
2012,Duke,Cincinnati,0
2012,San Jose State,Bowling Green State,1
2012,Bowling Green State,San Jose State,0
2012,Ohio,Louisiana-Monroe,1
2012,Louisiana-Monroe,Ohio,0
2012,Texas Tech,Minnesota,1
2012,Minnesota,Texas Tech,0
2012,Virginia Tech,Rutgers,1
2012,Rutgers,Virginia Tech,0
2012,Arizona State,Navy,1
2012,Navy,Arizona State,0
2012,Michigan State,Texas Christian,1
2012,Texas Christian,Michigan State,0
2012,Rice,Air Force,1
2012,Air Force,Rice,0
2012,Syracuse,West Virginia,1
2012,West Virginia,Syracuse,0
2012,Texas,Oregon State,1
2012,Oregon State,Texas,0
2012,Clemson,Louisiana State,1
2012,Louisiana State,Clemson,0
2012,Georgia Tech,Southern California,1
2012,Southern California,Georgia Tech,0
2012,Tulsa,Iowa State,1
2012,Iowa State,Tulsa,0
2012,Vanderbilt,North Carolina State,1
2012,North Carolina State,Vanderbilt,0
2012,Florida State,Northern Illinois,1
2012,Northern Illinois,Florida State,0
2012,Georgia,Nebraska,1
2012,Nebraska,Georgia,0
2012,Northwestern,Mississippi State,1
2012,Mississippi State,Northwestern,0
2012,Oklahoma State,Purdue,1
2012,Purdue,Oklahoma State,0
2012,South Carolina,Michigan,1
2012,Michigan,South Carolina,0
2012,Stanford,Wisconsin,1
2012,Wisconsin,Stanford,0
2012,Louisville,Florida,1
2012,Florida,Louisville,0
2012,Oregon,Kansas State,1
2012,Kansas State,Oregon,0
2012,Texas A&M,Oklahoma,1
2012,Oklahoma,Texas A&M,0
2012,Mississippi,Pittsburgh,1
2012,Pittsburgh,Mississippi,0
2012,Arkansas State,Kent State,1
2012,Kent State,Arkansas State,0
2012,Alabama,Notre Dame,1
2012,Notre Dame,Alabama,0
2011,Louisiana-Lafayette,San Diego State,1
2011,San Diego State,Louisiana-Lafayette,0
2011,Ohio,Utah State,1
2011,Utah State,Ohio,0
2011,Temple,Wyoming,1
2011,Wyoming,Temple,0
2011,Marshall,Florida International,1
2011,Florida International,Marshall,0
2011,Texas Christian,Louisiana Tech,1
2011,Louisiana Tech,Texas Christian,0
2011,Boise State,Arizona State,1
2011,Arizona State,Boise State,0
2011,Southern Mississippi,Nevada,1
2011,Nevada,Southern Mississippi,0
2011,Missouri,North Carolina,1
2011,North Carolina,Missouri,0
2011,North Carolina State,Louisville,1
2011,Louisville,North Carolina State,0
2011,Purdue,Western Michigan,1
2011,Western Michigan,Purdue,0
2011,Texas,California,1
2011,California,Texas,0
2011,Toledo,Air Force,1
2011,Air Force,Toledo,0
2011,Baylor,Washington,1
2011,Washington,Baylor,0
2011,Florida State,Notre Dame,1
2011,Notre Dame,Florida State,0
2011,Brigham Young,Tulsa,1
2011,Tulsa,Brigham Young,0
2011,Mississippi State,Wake Forest,1
2011,Wake Forest,Mississippi State,0
2011,Oklahoma,Iowa,1
2011,Iowa,Oklahoma,0
2011,Rutgers,Iowa State,1
2011,Iowa State,Rutgers,0
2011,Auburn,Virginia,1
2011,Virginia,Auburn,0
2011,Cincinnati,Vanderbilt,1
2011,Vanderbilt,Cincinnati,0
2011,Illinois,UCLA,1
2011,UCLA,Illinois,0
2011,Texas A&M,Northwestern,1
2011,Northwestern,Texas A&M,0
2011,Utah,Georgia Tech,1
2011,Georgia Tech,Utah,0
2011,Florida,Ohio State,1
2011,Ohio State,Florida,0
2011,Houston,Penn State,1
2011,Penn State,Houston,0
2011,Michigan State,Georgia,1
2011,Georgia,Michigan State,0
2011,Oklahoma State,Stanford,1
2011,Stanford,Oklahoma State,0
2011,Oregon,Wisconsin,1
2011,Wisconsin,Oregon,0
2011,South Carolina,Nebraska,1
2011,Nebraska,South Carolina,0
2011,Michigan,Virginia Tech,1
2011,Virginia Tech,Michigan,0
2011,West Virginia,Clemson,1
2011,Clemson,West Virginia,0
2011,Arkansas,Kansas State,1
2011,Kansas State,Arkansas,0
2011,Southern Methodist,Pittsburgh,1
2011,Pittsburgh,Southern Methodist,0
2011,Northern Illinois,Arkansas State,1
2011,Arkansas State,Northern Illinois,0
2011,Alabama,Louisiana State,1
2011,Louisiana State,Alabama,0
2010,Brigham Young,Texas-El Paso,1
2010,Texas-El Paso,Brigham Young,0
2010,Northern Illinois,Fresno State,1
2010,Fresno State,Northern Illinois,0
2010,Troy,Ohio,1
2010,Ohio,Troy,0
2010,Louisville,Southern Mississippi,1
2010,Southern Mississippi,Louisville,0
2010,Boise State,Utah,1
2010,Utah,Boise State,0
2010,San Diego State,Navy,1
2010,Navy,San Diego State,0
2010,Florida International,Toledo,1
2010,Toledo,Florida International,0
2010,Air Force,Georgia Tech,1
2010,Georgia Tech,Air Force,0
2010,Iowa,Missouri,1
2010,Missouri,Iowa,0
2010,North Carolina State,West Virginia,1
2010,West Virginia,North Carolina State,0
2010,Illinois,Baylor,1
2010,Baylor,Illinois,0
2010,Maryland,East Carolina,1
2010,East Carolina,Maryland,0
2010,Oklahoma State,Arizona,1
2010,Arizona,Oklahoma State,0
2010,Army,Southern Methodist,1
2010,Southern Methodist,Army,0
2010,North Carolina,Tennessee,1
2010,Tennessee,North Carolina,0
2010,Syracuse,Kansas State,1
2010,Kansas State,Syracuse,0
2010,Washington,Nebraska,1
2010,Nebraska,Washington,0
2010,Central Florida,Georgia,1
2010,Georgia,Central Florida,0
2010,Florida State,South Carolina,1
2010,South Carolina,Florida State,0
2010,Notre Dame,Miami (FL),1
2010,Miami (FL),Notre Dame,0
2010,South Florida,Clemson,1
2010,Clemson,South Florida,0
2010,Alabama,Michigan State,1
2010,Michigan State,Alabama,0
2010,Florida,Penn State,1
2010,Penn State,Florida,0
2010,Mississippi State,Michigan,1
2010,Michigan,Mississippi State,0
2010,Oklahoma,Connecticut,1
2010,Connecticut,Oklahoma,0
2010,Texas Christian,Wisconsin,1
2010,Wisconsin,Texas Christian,0
2010,Texas Tech,Northwestern,1
2010,Northwestern,Texas Tech,0
2010,Stanford,Virginia Tech,1
2010,Virginia Tech,Stanford,0
2010,Ohio State,Arkansas,1
2010,Arkansas,Ohio State,0
2010,Miami (OH),Middle Tennessee State,1
2010,Middle Tennessee State,Miami (OH),0
2010,Louisiana State,Texas A&M,1
2010,Texas A&M,Louisiana State,0
2010,Pittsburgh,Kentucky,1
2010,Kentucky,Pittsburgh,0
2010,Nevada,Boston College,1
2010,Boston College,Nevada,0
2010,Auburn,Oregon,1
2010,Oregon,Auburn,0
2009,Rutgers,Central Florida,1
2009,Central Florida,Rutgers,0
2009,Wyoming,Fresno State,1
2009,Fresno State,Wyoming,0
2009,Middle Tennessee State,Southern Mississippi,1
2009,Southern Mississippi,Middle Tennessee State,0
2009,Brigham Young,Oregon State,1
2009,Oregon State,Brigham Young,0
2009,Utah,California,1
2009,California,Utah,0
2009,Southern Methodist,Nevada,1
2009,Nevada,Southern Methodist,0
2009,Marshall,Ohio,1
2009,Ohio,Marshall,0
2009,Pittsburgh,North Carolina,1
2009,North Carolina,Pittsburgh,0
2009,Southern California,Boston College,1
2009,Boston College,Southern California,0
2009,Clemson,Kentucky,1
2009,Kentucky,Clemson,0
2009,Georgia,Texas A&M,1
2009,Texas A&M,Georgia,0
2009,UCLA,Temple,1
2009,Temple,UCLA,0
2009,Wisconsin,Miami (FL),1
2009,Miami (FL),Wisconsin,0
2009,Idaho,Bowling Green State,1
2009,Bowling Green State,Idaho,0
2009,Nebraska,Arizona,1
2009,Arizona,Nebraska,0
2009,Air Force,Houston,1
2009,Houston,Air Force,0
2009,Iowa State,Minnesota,1
2009,Minnesota,Iowa State,0
2009,Navy,Missouri,1
2009,Missouri,Navy,0
2009,Oklahoma,Stanford,1
2009,Stanford,Oklahoma,0
2009,Virginia Tech,Tennessee,1
2009,Tennessee,Virginia Tech,0
2009,Auburn,Northwestern,1
2009,Northwestern,Auburn,0
2009,Florida,Cincinnati,1
2009,Cincinnati,Florida,0
2009,Florida State,West Virginia,1
2009,West Virginia,Florida State,0
2009,Ohio State,Oregon,1
2009,Oregon,Ohio State,0
2009,Penn State,Louisiana State,1
2009,Louisiana State,Penn State,0
2009,Arkansas,East Carolina,1
2009,East Carolina,Arkansas,0
2009,Connecticut,South Carolina,1
2009,South Carolina,Connecticut,0
2009,Mississippi,Oklahoma State,1
2009,Oklahoma State,Mississippi,0
2009,South Florida,Northern Illinois,1
2009,Northern Illinois,South Florida,0
2009,Texas Tech,Michigan State,1
2009,Michigan State,Texas Tech,0
2009,Boise State,Texas Christian,1
2009,Texas Christian,Boise State,0
2009,Iowa,Georgia Tech,1
2009,Georgia Tech,Iowa,0
2009,Central Michigan,Troy,1
2009,Troy,Central Michigan,0
2009,Alabama,Texas,1
2009,Texas,Alabama,0
2008,Arizona,Brigham Young,1
2008,Brigham Young,Arizona,0
2008,Colorado State,Fresno State,1
2008,Fresno State,Colorado State,0
2008,South Florida,Memphis,1
2008,Memphis,South Florida,0
2008,Wake Forest,Navy,1
2008,Navy,Wake Forest,0
2008,Southern Mississippi,Troy,1
2008,Troy,Southern Mississippi,0
2008,Texas Christian,Boise State,1
2008,Boise State,Texas Christian,0
2008,Notre Dame,Hawaii,1
2008,Hawaii,Notre Dame,0
2008,Florida Atlantic,Central Michigan,1
2008,Central Michigan,Florida Atlantic,0
2008,California,Miami (FL),1
2008,Miami (FL),California,0
2008,Florida State,Wisconsin,1
2008,Wisconsin,Florida State,0
2008,West Virginia,North Carolina,1
2008,North Carolina,West Virginia,0
2008,Louisiana Tech,Northern Illinois,1
2008,Northern Illinois,Louisiana Tech,0
2008,Missouri,Northwestern,1
2008,Northwestern,Missouri,0
2008,Rutgers,North Carolina State,1
2008,North Carolina State,Rutgers,0
2008,Maryland,Nevada,1
2008,Nevada,Maryland,0
2008,Oregon,Oklahoma State,1
2008,Oklahoma State,Oregon,0
2008,Rice,Western Michigan,1
2008,Western Michigan,Rice,0
2008,Houston,Air Force,1
2008,Air Force,Houston,0
2008,Kansas,Minnesota,1
2008,Minnesota,Kansas,0
2008,Louisiana State,Georgia Tech,1
2008,Georgia Tech,Louisiana State,0
2008,Oregon State,Pittsburgh,1
2008,Pittsburgh,Oregon State,0
2008,Vanderbilt,Boston College,1
2008,Boston College,Vanderbilt,0
2008,Georgia,Michigan State,1
2008,Michigan State,Georgia,0
2008,Iowa,South Carolina,1
2008,South Carolina,Iowa,0
2008,Nebraska,Clemson,1
2008,Clemson,Nebraska,0
2008,Southern California,Penn State,1
2008,Penn State,Southern California,0
2008,Virginia Tech,Cincinnati,1
2008,Cincinnati,Virginia Tech,0
2008,Kentucky,East Carolina,1
2008,East Carolina,Kentucky,0
2008,Mississippi,Texas Tech,1
2008,Texas Tech,Mississippi,0
2008,Utah,Alabama,1
2008,Alabama,Utah,0
