Year,School,OSRS,DSRS
2013,Florida State,8.57,14.79
2013,Oregon,12.56,8.7
2013,Alabama,5.72,14.35
2013,Missouri,11.89,8.08
2013,Stanford,5.99,12.97
2013,Auburn,13.6,5.21
2013,Arizona State,13.67,3.83
2013,UCLA,10.15,6.95
2013,Baylor,12.51,4.35
2013,Oklahoma State,10.19,6.64
2013,South Carolina,7.99,8.07
2013,Ohio State,10.77,4.87
2013,Washington,6.41,8.71
2013,Clemson,9.21,5.77
2013,Michigan State,1.23,13.51
2013,Louisiana State,8.87,5.72
2013,Wisconsin,2.69,11.51
2013,Southern California,4.08,9.65
2013,Texas A&M,16.81,-3.43
2013,Oklahoma,6.42,6.77
2013,Georgia,13.03,-0.21
2013,Arizona,5.72,6.89
2013,Mississippi,4.24,6.19
2013,Brigham Young,5.85,4.38
2013,Kansas State,6.13,3.88
2013,Louisville,-0.18,10.18
2013,Notre Dame,3,6.51
2013,Central Florida,6.19,2.24
2013,Oregon State,9.08,-0.97
2013,Vanderbilt,4.66,3.34
2013,Duke,6.8,1.06
2013,Mississippi State,-0.28,8
2013,Texas,3.09,4.36
2013,Iowa,-0.9,8.22
2013,Georgia Tech,2.01,5.19
2013,Utah,4.51,2.45
2013,Utah State,-4.34,11.04
2013,Miami (FL),8.33,-1.74
2013,Virginia Tech,-3.85,10.26
2013,North Carolina,3.53,2.69
2013,Michigan,5.97,-0.43
2013,Texas Tech,7.13,-1.81
2013,Minnesota,-0.07,5.34
2013,Nebraska,3.38,1.84
2013,Washington State,4.54,0.55
2013,Fresno State,10.17,-5.13
2013,Houston,2.5,2.43
2013,Bowling Green State,-1.75,6.64
2013,Florida,-4.77,9.44
2013,Indiana,13.42,-9.01
2013,East Carolina,7.16,-2.87
2013,Tennessee,-0.71,5
2013,Navy,1.23,3.03
2013,Boise State,2.27,1.62
2013,Pittsburgh,3.74,-0.02
2013,Northern Illinois,8.19,-4.63
2013,Penn State,0.34,3.05
2013,Marshall,5.77,-2.69
2013,North Texas,-2.5,5.55
2013,Syracuse,-3.95,6.76
2013,Ball State,6.64,-4.35
2013,Texas Christian,-0.67,2.61
2013,Boston College,4.48,-3.2
2013,Northwestern,1.75,-0.55
2013,Maryland,-0.79,1.43
2013,Cincinnati,-0.68,1.09
2013,Rice,-0.25,0.39
2013,Wake Forest,-7.1,7.1
2013,Toledo,4.76,-4.79
2013,Colorado State,4.61,-4.84
2013,Western Kentucky,-0.01,-0.51
2013,Arkansas,-3.16,1.84
2013,Buffalo,-1.75,0.27
2013,Arkansas State,-1.34,-0.53
2013,Colorado,0.13,-2.12
2013,Louisiana-Lafayette,1.86,-3.87
2013,South Alabama,1.28,-3.72
2013,Texas-San Antonio,-3.11,0.1
2013,Tulane,-4.37,1.15
2013,San Jose State,5.04,-8.32
2013,Kentucky,-2.99,-0.52
2013,Florida Atlantic,-6.44,2.91
2013,Iowa State,-0.69,-2.89
2013,Nevada,-1.7,-1.9
2013,Middle Tennessee State,-0.97,-2.74
2013,West Virginia,0.29,-4.02
2013,Illinois,3.96,-7.82
2013,Nevada-Las Vegas,0.73,-4.63
2013,San Diego State,-1.19,-3.49
2013,Virginia,-6.11,1.17
2013,Troy,3.05,-8.38
2013,North Carolina State,-2.56,-3.1
2013,Rutgers,-1.75,-3.93
2013,Ohio,-3.05,-2.72
2013,Louisiana-Monroe,-6.34,-0.47
2013,Memphis,-7.99,0.58
2013,Southern Methodist,-0.67,-6.77
2013,California,0.74,-9.32
2013,Kansas,-10.02,1.44
2013,Wyoming,-1.42,-7.95
2013,Kent State,-8.05,-1.55
2013,Akron,-7.35,-2.51
2013,Temple,-2.73,-7.57
2013,Texas State,-7.36,-3.17
2013,Hawaii,-0.88,-10.25
2013,Tulsa,-5.83,-5.94
2013,Central Michigan,-9.23,-2.74
2013,Connecticut,-7.66,-4.31
2013,Army,-5.22,-7.13
2013,Purdue,-9.47,-2.96
2013,South Florida,-11.38,-2.17
2013,New Mexico,0.33,-14.44
2013,Air Force,-4.16,-10.72
2013,Louisiana Tech,-9.93,-5.74
2013,Alabama-Birmingham,-1.77,-14.05
2013,Texas-El Paso,-8.65,-9.52
2013,Western Michigan,-10.43,-8.73
2013,Idaho,-9.43,-9.87
2013,New Mexico State,-7.85,-11.51
2013,Georgia State,-9.64,-10.56
2013,Massachusetts,-15.27,-5.13
2013,Southern Mississippi,-12.24,-8.89
2013,Eastern Michigan,-10.15,-12.69
2013,Miami (OH),-18.67,-4.82
2013,Florida International,-19.13,-4.4
2012,Alabama,6.53,17.98
2012,Oregon,17.21,6.22
2012,Texas A&M,14.01,6.05
2012,Georgia,9.85,8.08
2012,Florida,2.27,15.09
2012,Notre Dame,1.84,15.15
2012,Kansas State,7.52,9.4
2012,South Carolina,5.03,10.94
