Year,School,WinPct,PtsScored,PtsAllowed
2013,Air Force,0.167,24.7,40
2013,Akron,0.417,20.2,28.6
2013,Alabama,0.846,38.2,13.9
2013,Alabama-Birmingham,0.167,26.3,43.8
2013,Arizona,0.615,33.5,24.2
2013,Arizona State,0.714,39.7,26.6
2013,Arkansas,0.25,20.7,30.8
2013,Arkansas State,0.615,29.2,26.2
2013,Army,0.25,24.4,31.6
2013,Auburn,0.857,39.5,24.7
2013,Ball State,0.769,38.5,24.7
2013,Baylor,0.846,52.4,23.5
2013,Boise State,0.615,37.5,24.8
2013,Boston College,0.538,27.7,28.9
2013,Bowling Green State,0.714,34.8,15.9
2013,Brigham Young,0.615,30.2,22.1
2013,Buffalo,0.615,30.3,24.4
2013,California,0.083,23,45.9
2013,Central Florida,0.923,34.6,21.3
2013,Central Michigan,0.5,23.3,28.6
2013,Cincinnati,0.692,32.1,21
2013,Clemson,0.846,40.2,22.2
2013,Colorado,0.333,25.4,38.3
2013,Colorado State,0.571,36.2,29.8
2013,Connecticut,0.25,20.6,30.3
2013,Duke,0.714,32.8,26.6
2013,East Carolina,0.769,40.2,24.8
2013,Eastern Michigan,0.167,18.8,45.2
2013,Florida,0.333,18.8,21.1
2013,Florida Atlantic,0.5,26.4,22.3
2013,Florida International,0.083,9.8,37
2013,Florida State,1,51.6,12.1
2013,Fresno State,0.846,43.4,30.3
2013,Georgia,0.615,36.7,29
2013,Georgia State,0,18.8,36.7
2013,Georgia Tech,0.538,35.1,22.8
2013,Hawaii,0.083,27.4,38.8
2013,Houston,0.615,33.2,21.8
2013,Idaho,0.083,18.2,46.8
2013,Illinois,0.333,29.7,35.4
2013,Indiana,0.417,38.4,38.8
2013,Iowa,0.615,26.3,18.9
2013,Iowa State,0.25,24.8,36
2013,Kansas,0.25,15.3,31.8
2013,Kansas State,0.615,33.2,22.9
2013,Kent State,0.333,20.8,26.9
2013,Kentucky,0.167,20.5,31.2
2013,Louisiana State,0.769,35.8,22
2013,Louisiana Tech,0.333,19.2,26.3
2013,Louisiana-Lafayette,0.692,33.8,26.5
2013,Louisiana-Monroe,0.5,22.3,30.2
2013,Louisville,0.923,35.2,12.2
2013,Marshall,0.714,42.1,22.9
2013,Maryland,0.538,26.2,25.3
2013,Massachusetts,0.083,11.7,33
2013,Memphis,0.25,19.5,24.6
2013,Miami (FL),0.692,33.8,26.8
2013,Miami (OH),0,9.8,35.7
2013,Michigan,0.538,32.2,26.8
2013,Michigan State,0.929,29.4,13.2
2013,Middle Tennessee State,0.615,29,26.2
2013,Minnesota,0.615,25.7,22.2
2013,Mississippi,0.615,30,23.7
2013,Mississippi State,0.538,27.7,23
2013,Missouri,0.857,39.1,23.1
2013,Navy,0.692,33.5,24.4
2013,Nebraska,0.692,31.9,24.8
2013,Nevada,0.333,26.9,34.4
2013,Nevada-Las Vegas,0.538,29.9,31.8
2013,New Mexico,0.25,32.8,42.8
2013,New Mexico State,0.167,20.9,44.6
2013,North Carolina,0.538,32.7,24.5
2013,North Carolina State,0.25,22.8,30.2
2013,North Texas,0.692,31.8,17.8
2013,Northern Illinois,0.857,39.6,25.1
2013,Northwestern,0.417,26.2,27.1
2013,Notre Dame,0.692,27.2,22.4
2013,Ohio,0.538,27.4,27.5
2013,Ohio State,0.857,45.5,22.6
2013,Oklahoma,0.846,32.8,22.1
2013,Oklahoma State,0.769,39.1,21.6
2013,Oregon,0.846,45.5,20.5
2013,Oregon State,0.538,34.8,31.4
2013,Penn State,0.583,28.7,26.2
2013,Pittsburgh,0.538,26.3,27.2
2013,Purdue,0.083,14.9,38
2013,Rice,0.714,29.6,24.4
2013,Rutgers,0.462,26.5,29.8
2013,San Diego State,0.615,29.8,31.7
2013,San Jose State,0.5,32.4,35.1
2013,South Alabama,0.5,29.4,25.2
2013,South Carolina,0.846,34.1,20.3
2013,South Florida,0.167,13.8,28.6
2013,Southern California,0.714,29.7,21.2
2013,Southern Methodist,0.417,26.8,33.3
2013,Southern Mississippi,0.083,17.1,41.9
2013,Stanford,0.786,32.3,19
2013,Syracuse,0.538,22.7,25.4
2013,Temple,0.167,24.9,29.8
2013,Tennessee,0.417,23.8,29
2013,Texas,0.615,29.3,25.8
2013,Texas A&M,0.692,44.2,32.2
2013,Texas Christian,0.333,25.1,25.3
2013,Texas State,0.5,23.9,27.3
2013,Texas Tech,0.615,35.8,30.5
2013,Texas-El Paso,0.167,21.8,39.3
2013,Texas-San Antonio,0.583,25.6,26.3
2013,Toledo,0.583,33,28.6
2013,Troy,0.5,34.1,35.9
2013,Tulane,0.538,24.8,21.4
2013,Tulsa,0.25,21.1,33.9
2013,UCLA,0.769,36.9,23.2
2013,Utah,0.417,29.2,28
2013,Utah State,0.643,31.8,17.1
2013,Vanderbilt,0.692,30.1,24.6
2013,Virginia,0.167,19.8,33.3
2013,Virginia Tech,0.615,22.5,19.3
2013,Wake Forest,0.333,18.3,24.1
2013,Washington,0.692,37.9,22.8
2013,Washington State,0.462,31,32.5
2013,West Virginia,0.333,26.3,33.3
2013,Western Kentucky,0.667,30.8,24.6
2013,Western Michigan,0.083,17.2,35.4
2013,Wisconsin,0.692,34.8,16.3
2013,Wyoming,0.417,31.3,36.7
2012,Air Force,0.462,27.4,29
2012,Akron,0.083,26.1,35.7
2012,Alabama,0.929,38.7,10.9
2012,Alabama-Birmingham,0.25,28.3,37.5
2012,Arizona,0.615,38.2,35.3
2012,Arizona State,0.615,38.4,24.3
2012,Arkansas,0.333,23.5,30.4
2012,Arkansas State,0.769,34.9,24.5
2012,Army,0.167,24.3,35.3
2012,Auburn,0.25,18.7,28.3
2012,Ball State,0.692,33.6,32
2012,Baylor,0.615,44.5,37.2
2012,Boise State,0.846,30.2,15.8
2012,Boston College,0.167,19.8,29.7
2012,Bowling Green State,0.615,22.9,16.8
2012,Brigham Young,0.615,28.7,14
2012,Buffalo,0.333,21.3,28.5
2012,California,0.25,23,33.1
2012,Central Florida,0.714,35.4,22.1
2012,Central Michigan,0.538,28.8,32.4
2012,Cincinnati,0.769,32.3,18.5
2012,Clemson,0.846,41,24.8
2012,Colorado,0.083,17.8,46
2012,Colorado State,0.333,21.2,30.3
2012,Connecticut,0.417,17.8,19.8
2012,Duke,0.462,31.5,36
2012,East Carolina,0.615,31.5,31.6
2012,Eastern Michigan,0.167,21.3,37.6
2012,Florida,0.846,26.5,14.5
2012,Florida Atlantic,0.25,20.5,30.8
2012,Florida International,0.25,25,31.7
2012,Florida State,0.857,39.3,14.7
2012,Fresno State,0.692,37.9,23.8
2012,Georgia,0.857,37.8,19.6
2012,Georgia Tech,0.5,33.6,28.3
2012,Hawaii,0.25,21.2,35.7
2012,Houston,0.417,32.4,36
2012,Idaho,0.083,15.8,42.4
2012,Illinois,0.167,16.7,32.1
2012,Indiana,0.333,30.8,35.3
2012,Iowa,0.333,19.3,22.9
2012,Iowa State,0.462,24.5,23.9
2012,Kansas,0.083,18.3,36.1
2012,Kansas State,0.846,38.8,22.2
2012,Kent State,0.786,33.1,24.5
2012,Kentucky,0.167,17.9,31
2012,Louisiana State,0.769,29.8,17.5
2012,Louisiana Tech,0.75,51.5,38.5
2012,Louisiana-Lafayette,0.692,35.5,28.1
2012,Louisiana-Monroe,0.615,33.8,29.2
2012,Louisville,0.846,31.2,23.8
2012,Marshall,0.417,40.9,43.1
2012,Maryland,0.333,20.1,27.2
2012,Massachusetts,0.083,12.7,40.2
2012,Memphis,0.333,24.4,30.3
2012,Miami (FL),0.583,31.4,30.5
2012,Miami (OH),0.333,23.3,34.9
2012,Michigan,0.615,29.8,19.8
2012,Michigan State,0.538,20,16.3
2012,Middle Tennessee State,0.667,26.6,28
2012,Minnesota,0.462,22.1,24.7
2012,Mississippi,0.538,31.5,27.6
2012,Mississippi State,0.615,29.5,23.3
2012,Missouri,0.417,25.8,28.4
2012,Navy,0.615,25,25.7
2012,Nebraska,0.714,34.8,27.6
2012,Nevada,0.538,37.8,33.8
2012,Nevada-Las Vegas,0.154,22,32.6
2012,New Mexico,0.308,25.8,30.2
2012,New Mexico State,0.083,18.7,39.4
